manufacturer,made_in,fx,type,jacks_mounted_on,bypass,battery,voltage,polarity,circuit,tube_equipped,weight_in_kg,famous_users,width_in_cm,height_in_cm,depth_in_cm,gtin_14,additional_fx,based_on_famous_model,series,video,special_features,year,colour,serial_number,manufacturer_part_number,gtin_12,url,name
Effesk,The Netherlands,Fuzz,Pedal,One side,Buffered Bypass,No,9,,Analog,No,.35,,6.6,3.5,12.1,,Noise Generator,,,,Pitch Shift,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/krankjorum/,Krankjorum
Electro-Harmonix,,Fuzz,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.35,,10.2,8.9,12.1,00683274010496,Distortion,Electro-Harmonix Big Muff Pi,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/little-big-muff-pi/,Little Big Muff Pi
JAM Pedals,Greece,Overdrive,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.30,,7,4.8,11.1,05214001611119,Boost,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/lucydreamer/,Lucydreamer
JAM Pedals,Greece,Overdrive,Pedal,Side,True Bypass,No,9,Center Negative,Analog,No,0.30,,7.5,5.6,12,05214001611249,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/bass-pedals/lucydreamer-bass/,Lucydreamer Bass
MXR,USA,Overdrive,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.13,,4,55,9,,Boost,Klon,,,,2020's,Gold,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/m-294-sugar-drive/,M 294 Sugar Drive
MXR,USA,Compressor,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.38,"Billie Joe Armstrong, The Edge",6.4,3.2,11.5,00710137006539,,,,,,2000s,Red,,,,https://www.tonepedia.com/catalog/effects-and-pedals/compression-and-sustain/m102-dyna-comp/,M102 Dyna Comp
red sun fx,Germany,Fuzz,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.38,Mammut,10,11.6,5.2,,Distortion,EHX Big Muff Green Russian,,,internal DIP switches,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/mammut-muff/,Mammut Muff
BOSS,Taiwan,Distortion,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.41,,7.3,5.9,12.9,"04957054057527, 00761294057520",,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/md-2-mega-distortion/,MD-2 Mega Distortion
Electro-Harmonix,USA,Delay,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.25,,7.0,5.4,11.5,00683274011035,,Electro-Harmonix Memory Man,Nano Series,,MOD Toggle Switch,,"Black, Silver",,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/memory-toy/,Memory Toy
EBS,China,Distortion,Pedal,Sides,True Bypass,Yes,"9, 12",Center Negative,Analog,No,0.40,,7,3.5,11.5,07332100240400,,,Studio Edition,,MOD selector for a variety of distortion sounds,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/metaldrive-studio-edition/,MetalDrive Studio Edition
MXR,"China, Taiwan",Chorus,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.38,"Jim Root, Stephen Carpenter",5.9,4.8,11,00710137045880,,,,,,2010s,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/chorus-and-vibrato/micro-chorus-m148/,Micro Chorus M148
Darkglass Electronics,Finland,Overdrive,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.29,,7.5,4.5,11.3,06430054580137,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/microtubes-b3k-v2/,Microtubes B3K V2
Electro-Harmonix,USA,Envelope Filter,Pedal,Top,Buffered Bypass,Yes,9,TRS,Analog,No,0.5,Wes Borland,10.2,8.9,12.1,,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/wahs-and-filters/mini-q-tron/,Mini Q-Tron
KMA Audio Machines,Germany,Fuzz,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.24,,6,5,11.2,00651650248832,,Tonebender MKII,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/minos-germanium-fuzz/,Minos Germanium Fuzz
BOSS,Taiwan,Distortion,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.44,,7.3,5.9,12.9,"00761294403556, 04957054403553",,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/ml-2-metal-core/,ML-2 Metal Core
Diamond Pedals,Canada,Delay,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Hybrid,No,0.42,,11.9,5.1,9.3,00758353632743,,,,,Tap tempo,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/delay/mlnjr-memory-lane-jr/,MLNJr Memory Lane Jr
BOSS,Taiwan,Overtone Generator,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.43,,7,5.5,12.5,04957054503765,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/octave-and-pitch/mo-2-multi-overtone/,MO-2 Multi Overtone
KMA Audio Machines,Germany,Octaver,Pedal,Top,True Bypass,No,9,Center Negative,Analog,No,0.55,,14.6,6,12.1,00651650248818,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/octave-and-pitch/moai-maea/,Moai Maea
BOSS,Taiwan,Distortion,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.41,,7.3,5.9,12.9,"00761294020937, 04957054020934",,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/mt-2-metal-zone/,MT-2 Metal Zone
BOSS,Japan,Distortion,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.41,,7.3,5.9,12.9,04957054513535,,,WAZA CRAFT,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/distortion/mt-2w-metal-zone/,MT-2W Metal Zone
EBS,Sweden,Compressor,Pedal,Sides,Buffered Bypass,No,9,Center Negative,Analog,No,0.40,,7.0,3.5,11.5,07332100120306,,,,,,2015,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/compression-and-sustain/multicomp/,MultiComp
EBS,China,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.40,,6.1,4.5,11,07332100240301,,,,,3 Modes: Tubesim/Flat/Standard,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/multidrive-studio-edition/,MultiDrive Studio Edition
Vox,Vietnam,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,Yes,0.35,,7.2,5.5,12,04058059215834,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/mystic-edge/,Mystic Edge
Electro-Harmonix,,Fuzz,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.25,,6.2,5,11,00683274011462,Distortion,Electro Harmonix Big Muff Pi,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/fuzz/nano-big-muff-pi/,Nano Big Muff Pi
TC Electronic,China,Octaver,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.50,,7.4,5.8,13.2,04033653015271,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/octave-and-pitch/nether/,Nether
Diamond Pedals,Canada,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.35,,6.4,6.1,12.3,,,,,,,2010s,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/nine-zero-two/,Nine Zero Two
Ibanez,Japan,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,Yes,0.58,,7,5.2,12.5,04549763061768,,TS-808,,,NU-Tube,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/nu-tubescreamer/,Nu Tubescreamer
BOSS,Taiwan,Octaver,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,No,0.44,,7.3,5.9,12.9,"00761294083840, 04957054083847",Poly Octave/OC-2 Mode,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/octave-and-pitch/oc-3-super-octave/,OC-3 Super Octave
BOSS,Taiwan,Octaver,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Digital,,0.44,,7.3,5.9,12.9,04957054516932,,BOSS OC-2,Compact,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/octave-and-pitch/oc-5/,OC-5
EBS,China,Octaver,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.31,,6.6,4.8,11.4,07332100170103,,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/bass-pedals/octabass/,Octabass
Aguilar,USA,Octaver,Pedal,Top,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.49,,6.8,13.3,5.3,04017269239740,,,,,,2000s,Red,,,,https://www.tonepedia.com/catalog/effects-and-pedals/bass-pedals/octamizer/,Octamizer
Gojira,UK,Octaver,Pedal,Sides,True Bypass,No,9,Center Negative,Analog,No,0.34,,10,5,12,,Fuzz,,,,,,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/octave-and-pitch/octave-generator/,Octave Generator
Electro-Harmonix,USA,Overdrive,Pedal,Sides,True Bypass,Yes,9,Center Negative,Analog,No,0.3,,7.0,5.4,11.5,00683274011455,,Fulltone OCD,Nano Series,,Mode Toggle Switch,,"Black, Silver",,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/electro-harmonix-glove-overdrive-pedal/,OD Glove
BOSS,Japan,Overdrive,Pedal,Sides,Buffered Bypass,Yes,9,Center Negative,Analog,No,0.4,"Tony Iommi, Joe Satriani, Pete Townshend, Ed O'Brien, Rory Gallagher, Jerry Garcia, Richie Sambora, Lindsey Buckingham",7.9,5.9,12.9,,,,Compact,,,1984,,,,,https://www.tonepedia.com/catalog/effects-and-pedals/overdrive-and-boost/od-1-1984/,OD-1 (1984)
